Alloy,EQ RT Phase,Pareto,Targ_Ti,Targ_V,Targ_Nb,Targ_Mo,Targ_Hf,Targ_Ta,Targ_W,Target System Type,Target System Size,EQ RT Phase.1,Meas_Ti,Meas_V,Meas_Nb,Meas_Mo,Meas_Hf,Meas_Ta,Meas_W,System Type,System_Size,Atomic Flat % DistanceError,Ti,V,Nb,Mo,Hf,Ta,W,PROP ST (K),PROP ST (째C),PROP LT (K),PROP LT (째C),PROP RT Density (g/cm3),PROP RT Elec Resi (ohm m),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),PROP RT Therm Diff (m2/s),EQ 25C MAX BCC,EQ 25C MAX any,EQ 700C MAX BCC,EQ 800C MAX BCC,EQ 900C MAX BCC,EQ 1000C MAX BCC,EQ 1000C THCD (W/mK),Melting Point (째C)_Avg,Melting Point (째C)_Var,Sconf,Solidification Range (K),Hardness (Vickers),Hardness (GPa),Hardness stdev (GPa),Specific Hardness (GPa / (g/cm3)),Specific Hardness stdev (GPa / (g/cm3)),N_trials_hardness,Specific Hardness sterr (GPa / (g/cm3)),Modulus (GPa),Modulus stdev (GPa),Specific Modulus (GPa / (g/cm3)),Specific Modulus stdev (GPa / (g/cm3)),N_trials_modulus,Specific Modulus sterr (GPa / (g/cm3)),Iteration,hypervolume,Shear Modulus RoM (GPa)_Avg,Shear Modulus RoM (GPa)_Var,Bulk Modulus RoM (GPa)_Avg,Bulk Modulus RoM (GPa)_Var,Pugh Ratio
A01,BCC,,0.15,0.075,0.45,0.1,0.05,0.175,0,2,6,BCC,0.097,0.141,0.45,0.073,0.037,0.202,0,2,6,9.4,0.1,0.175,0.425,0.05,0.05,0.2,0,2495.515047,2222.365047,2689.6341,2416.4841,10.07770007,1.62E-08,24.68724863,11.33879528,4.69E-06,0.725464361,0.725464361,1,1,1,1,18.78670679,2410.025,417.0570397,1.52323125,194.1190527,425.9798907,4.177584788,0.053009076,0.414537519,0.005260037,20,0.00117618,149.7834273,1.971475241,14.86285821,0.195627497,19,0.044880026,1,8.3503,52.8,25.2232036,168.5,35.25265947,3.191287879
A02,BCC,,0,0.1,0.6,0.05,0.025,0.15,0.075,3,6,BCC,0,0.098,0.517,0.056,0.059,0.176,0.094,3,6,9.6,0,0.125,0.55,0.075,0.05,0.15,0.05,2635.79029,2362.64029,2794.76451,2521.61451,11.04672138,6.76E-09,24.53217678,12.89880827,5.28E-06,0.866251653,0.866251653,1,1,1,1,19.69510543,2573.375,368.9604781,1.257600519,158.9742191,488.419399,4.789929046,0.124541087,0.433606396,0.011274032,20,0.00252095,165.4883452,2.590285484,14.98076574,0.234484549,20,0.052432339,1,8.3503,56.675,35.72071353,185.5,40.5555175,3.273048081
A03,C15 Laves,,0.125,0.1,0.575,0.075,0.025,0,0.1,4,6,C15 Laves,0.145,0,0.657,0.083,0,0,0.115,unknown,4,13.4,0.15,0,0.65,0.05,0.05,0.025,0.075,2465.967487,2192.817487,2631.611739,2358.461739,9.407611134,1.70E-08,24.47409554,33.48518727,1.37E-05,0.713759674,0.713759674,1,1,1,1,33.25208637,2418.525,450.4767468,1.325135747,165.6442526,387.0354636,3.795656791,0.076281094,0.403466591,0.008108445,20,0.001813103,155.3453618,1.677413477,16.51273204,0.17830387,20,0.039869957,1,8.3503,57.9,40.43995549,178.5,52.0360452,3.082901554
A04,BCC #2,,0.2,0.125,0.375,0.05,0,0.15,0.1,5,6,BCC #2,0.202,0.125,0.375,0.049,0,0.145,0.129,5,6,3,0.2,0.15,0.4,0,0.025,0.175,0.05,2483.497911,2210.347911,2688.386936,2415.236936,9.888857727,4.45E-07,24.64372795,15.45833589,6.41E-06,0.645629002,0.645629002,1,1,1,1,21.53657737,2427.125,550.1846139,1.614241866,204.8890247,468.4641035,4.594227463,0.137339379,0.464586264,0.013888296,20,0.003105517,154.3985336,2.698826907,15.61338406,0.27291594,13,0.075693263,1,8.3503,61.375,38.26466222,178.25,54.21657957,2.904276986
A05,BCC,,0.175,0.075,0.475,0,0.05,0.15,0.075,6,6,BCC,0.193,0.068,0.442,0,0.049,0.155,0.093,6,6,4.3,0.225,0.05,0.45,0,0.075,0.15,0.05,2384.067066,2110.917066,2623.338623,2350.188623,10.40546666,1.75E-08,24.71686751,11.68527184,4.82E-06,0.692773489,0.692773489,1,1,1,1,20.15553074,2432.575,500.3658106,1.48152354,239.2715575,430.9146883,4.225980348,0.100634544,0.406130785,0.009671315,20,0.002162572,145.2457023,1.158939828,13.95859571,0.111377977,13,0.030890693,1,8.3503,53.2,32.60920116,170.75,49.21318421,3.209586466
A06,BCC,,0.225,0,0.4,0.05,0.075,0.2,0.05,8,6,BCC,0.218,0,0.401,0.049,0.073,0.203,0.056,8,6,1,0.225,0,0.4,0.05,0.075,0.225,0.025,2491.575673,2218.425673,2696.687889,2423.537889,10.32798589,4.43E-07,24.82143009,13.14670006,5.72E-06,0.700628903,0.700628903,1,1,1,1,18.86716958,2439.225,504.314906,1.517869487,205.1122156,384.6018524,3.771790366,0.111312785,0.36520096,0.010777782,20,0.002409985,148.8330189,1.545154595,14.41065281,0.149608511,20,0.03345348,1,8.3503,55.2,31.65296195,168,49.15282291,3.043478261
A07,BCC,,0,0.15,0.6,0,0.025,0.15,0.075,13,5,BCC,0,0.141,0.6,0,0.023,0.152,0.084,13,5,1.3,0,0.1,0.625,0,0.025,0.15,0.1,2542.653503,2269.503503,2741.306765,2468.156765,10.92392994,8.34E-09,24.55410594,12.56680052,5.10E-06,0.831988886,0.831988886,1,1,1,1,19.26605114,2537.725,395.9054172,1.162123393,198.6532619,384.7194988,3.772944125,0.060951004,0.345383405,0.005579586,20,0.001247633,156.697188,2.641376504,14.34439701,0.241797276,20,0.054067515,1,8.3503,53.025,32.66227755,182,39.57271787,3.432343234
A08,BCC,,0.2,0,0.45,0,0.05,0.225,0.075,14,5,BCC,0.187,0,0.457,0,0.047,0.226,0.083,14,5,1.7,0.175,0,0.475,0,0.05,0.25,0.05,2489.898816,2216.748816,2715.145238,2441.995238,10.65674662,2.45E-07,24.81473711,12.21160607,5.30E-06,0.750196609,0.750196609,1,1,1,1,18.09603696,2495.375,515.8703659,1.360895044,225.2464222,398.1697842,3.904851074,0.23141309,0.366420561,0.021715172,20,0.00485566,152.1546292,1.599986527,14.27777489,0.150138366,20,0.033571959,1,8.3503,55,32.74599212,172.25,50.66988751,3.131818182
A09,BCC,,0.15,0.175,0.4,0,0,0.225,0.05,15,5,BCC,0.145,0.169,0.398,0,0,0.225,0.063,15,5,1.5,0.125,0.175,0.4,0,0,0.225,0.075,2397.433049,2124.283049,2633.998621,2360.848621,10.46044558,1.86E-08,24.70883371,10.52041925,4.20E-06,0.65287186,0.65287186,1,1,1,1,18.04586591,2425.175,511.8673113,1.44151288,236.5655712,397.5755392,3.899023313,0.075557939,0.372739697,0.007223205,20,0.001615158,149.4147255,1.744569716,14.28378212,0.166777763,20,0.037292642,1,8.3503,53.6,27.36585464,173,41.60528813,3.22761194
A10,BCC,,0,0.25,0.4,0.1,0,0.15,0.1,16,5,BCC,0,0.246,0.401,0.099,0,0.147,0.107,16,5,0.9,0,0.275,0.45,0.05,0,0.15,0.075,2529.430941,2256.280941,2745.135957,2471.985957,10.62783228,3.69E-07,24.46010156,17.42401102,7.04E-06,0.677944716,0.677944716,1,1,1,1,21.02626979,2525.35,461.7451976,1.458174899,215.7050156,520.2958972,5.102541864,0.072434944,0.480111252,0.00681559,19,0.001563604,172.2211339,1.492164819,16.20472825,0.140401615,7,0.053066823,1,8.3503,65.4,39.9867478,192,44.67661581,2.935779817
A11,BCC #2,,0.225,0,0.375,0.075,0,0.225,0.1,17,5,BCC #2,0.22,0.041,0.362,0.077,0,0.209,0.091,unknown,6,4.7,0.25,0.075,0.4,0.025,0,0.225,0.025,2703.457409,2430.307409,2823.759922,2550.609922,10.68737014,6.05E-07,24.72157653,13.12969221,5.56E-06,0.775781954,0.775781954,1,1,1,1,19.98581105,2521.925,549.3188231,1.463584211,120.3025139,406.3374162,3.984951041,0.301205624,0.372865447,0.028183325,19,0.006465698,166.9133068,7.376921049,15.61780912,0.690246614,19,0.158353433,1,8.3503,64.775,39.0464387,181.75,55.7174793,2.805866461
A12,BCC,,0.125,0.15,0.525,0.1,0,0,0.1,19,5,BCC,0.124,0.148,0.53,0.1,0,0,0.098,19,5,0.6,0.1,0.2,0.525,0.075,0,0.025,0.075,2486.644936,2213.494936,2639.381003,2366.231003,8.967800004,2.49E-07,24.4298499,33.14888186,1.37E-05,0.670279335,0.670279335,1,1,1,1,31.25757616,2399.925,464.2488765,1.343302643,152.736067,441.8234337,4.332962414,0.089324912,0.483168939,0.009960627,20,0.002227264,139.4461105,2.148006724,15.54964544,0.239524379,20,0.053559279,1,8.3503,60.6,41.12408054,181,51.6139516,2.98679868
A13,BCC,,0.125,0.2,0.525,0,0.05,0,0.1,20,5,BCC,0.154,0.121,0.458,0.039,0.027,0.104,0.097,unknown,7,15.6,0.175,0.125,0.5,0,0,0.1,0.1,2245.341619,1972.191619,2474.665255,2201.515255,9.428630138,2.03E-08,24.53273548,31.42521964,1.25E-05,0.632198031,0.632198031,1,1,1,1,28.64124081,2344.775,470.0040153,1.300150332,229.3236364,497.9730861,4.883622056,0.061305191,0.51795669,0.006502025,20,0.001453897,157.7895417,1.672140022,16.73515022,0.17734708,20,0.039656013,1,8.3503,52.45,36.44170002,171.5,51.06613359,3.269780744
A14,BCC #2,,0.225,0,0.575,0.05,0.05,0,0.1,22,5,BCC #2,0.22,0,0.582,0.048,0.052,0,0.098,22,5,0.9,0.225,0,0.575,0.05,0.075,0,0.075,2456.36095,2183.21095,2599.729517,2326.579517,9.223414574,1.84E-08,24.60067308,33.41454018,1.42E-05,0.692529401,0.692529401,1,1,1,1,35.4031203,2384.575,481.7270434,1.183650596,143.3685673,380.3634973,3.730224818,0.173262528,0.40442992,0.018785074,20,0.00420047,140.8519086,2.41706512,15.2711241,0.262057517,20,0.058597842,1,8.3503,55.35,39.48895415,170.5,55.9441686,3.080397471
A15,BCC,,0.25,0,0.4,0.075,0.025,0.25,0,25,5,BCC,0.244,0,0.399,0.074,0.02,0.249,0.014,unknown,6,1.6,0.25,0,0.425,0.05,0.025,0.25,0,2615.116287,2341.966287,2754.791123,2481.641123,9.89592488,2.63E-07,24.82124706,11.84678933,5.11E-06,0.727173607,0.727173607,1,1,1,1,17.67207899,2414.6,485.5034397,1.346155497,139.6748359,366.4725219,3.593996022,0.152767444,0.363179396,0.015437409,20,0.00345191,138.2236899,4.83729863,13.96773839,0.488817234,10,0.154577582,1,8.3503,53.2,22.89344884,165.5,38.27205247,3.110902256
A16,BCC,,0,0.175,0.575,0.075,0.025,0.15,0,26,5,BCC,0,0.152,0.593,0.074,0.024,0.145,0.012,unknown,6,3.2,0,0.125,0.6,0.075,0.05,0.15,0,2480.730768,2207.580768,2665.648745,2392.498745,10.43118146,1.22E-08,24.52843709,12.26278608,4.85E-06,0.740296091,0.740296091,1,1,1,1,18.5718389,2463.625,320.7939906,1.194276162,184.9179773,422.1198695,4.13972956,0.12371644,0.396861043,0.011860252,19,0.002720928,144.2271827,2.632552364,13.82654335,0.252373365,19,0.057898421,1,8.3503,50.175,22.71550957,175.75,21.89606129,3.502740409
A17,BCC,,0.175,0.075,0.475,0,0.05,0.225,0,27,5,BCC,0.204,0.092,0.304,0.117,0.057,0.215,0.011,unknown,7,21.1,0.225,0.1,0.375,0.05,0.05,0.2,0,2387.654698,2114.504698,2613.458325,2340.308325,10.15188092,1.71E-08,24.80339687,9.993224936,4.21E-06,0.705638931,0.705638931,1,1,1,1,16.8702099,2402.2,449.0407665,1.338307852,225.8036266,460.1931794,4.51311451,0.068513183,0.444559441,0.006748817,19,0.001548285,150.8930992,1.114396877,14.86356079,0.109772454,19,0.025183528,1,8.3503,46.3,12.76362018,162.5,31.04432315,3.509719222
A18,BCC,,0.2,0.125,0.325,0.1,0,0.25,0,28,5,BCC,0.197,0.126,0.327,0.099,0,0.251,0,28,5,0.4,0.2,0.125,0.375,0.05,0,0.25,0,2514.696721,2241.546721,2716.156029,2443.006029,10.20610088,2.03E-08,24.73049305,10.61864241,4.25E-06,0.616100634,0.616100634,1,1,1,1,18.54786595,2393.925,489.093518,1.523927156,201.4593082,402.7854045,3.950116462,0.104594248,0.387034825,0.010248208,17,0.002485556,146.5513791,7.170454441,14.35919367,0.702565507,17,0.170397164,1,8.3503,56.275,24.41309843,170.25,36.29652187,3.025322079
A19,BCC,,0,0.3,0.425,0,0,0.175,0.1,31,4,BCC,0,0.279,0.433,0,0,0.176,0.112,31,4,2.5,0,0.275,0.45,0,0,0.2,0.075,2447.456705,2174.306705,2689.285637,2416.135637,10.68807304,1.58E-08,24.53372552,14.59525207,5.83E-06,0.702214275,0.702214275,1,1,1,1,19.13275358,2495.9,486.2324444,1.260128076,241.8289325,469.9664489,4.608960965,0.071950033,0.431224688,0.006731806,19,0.001544382,164.3845305,2.048201018,15.38018405,0.191634265,15,0.049479754,1,8.3503,58.425,35.89142481,186.25,43.39858869,3.187847668
A20,BCC,,0.275,0,0.35,0,0,0.325,0.05,33,4,BCC,0.273,0,0.342,0,0,0.321,0.064,33,4,1.7,0.275,0.025,0.325,0,0.025,0.325,0.025,2525.305779,2252.155779,2727.989175,2454.839175,10.63655954,2.40E-07,24.8999963,11.22562246,4.82E-06,0.725387047,0.725387047,1,1,1,1,17.41432698,2477.275,565.1578977,1.237522289,202.683396,304.7858966,2.989035288,0.104549841,0.281015236,0.009829291,20,0.002197896,144.8990118,3.033700495,13.62273311,0.285214451,9,0.095071484,1,8.3503,55.875,27.55284695,170.25,47.56508699,3.046979866
A21,BCC,,0.3,0,0.3,0,0.075,0.325,0,41,4,BCC,0.295,0,0.308,0,0.068,0.329,0,41,4,1.2,0.275,0,0.325,0,0.075,0.325,0,2370.532497,2097.382497,2611.805806,2338.655806,10.42917438,2.55E-07,25.0259889,11.97508658,5.25E-06,0.625723689,0.625723689,1,1,1,1,16.94699353,2391.5,536.9071149,1.281931001,241.2733095,292.4813944,2.868365035,0.08142057,0.2750328,0.007807001,20,0.001745698,127.4757725,1.778723805,12.22299751,0.170552696,14,0.045582125,1,8.3503,49.275,14.17036961,157.25,38.46995581,3.191273465
A22,BCC,,0,0.275,0.45,0.05,0,0.225,0,57,4,BCC,0,0.255,0.451,0.048,0,0.227,0.019,unknown,5,2.8,0,0.275,0.45,0.05,0,0.225,0,2442.513393,2169.363393,2647.131096,2373.981096,11.0720254,1.73E-08,24.57891732,9.087837374,3.38E-06,0.586758316,0.586758316,1,1,1,1,16.71870728,2449.875,392.8734012,1.199758074,204.6177035,422.9290393,4.147665088,0.067600791,0.37460762,0.006105549,20,0.001365242,154.5082657,1.306774523,13.95483302,0.118024885,19,0.027076766,1,8.3503,51.55,19.77618517,177,19,3.433559651
A23,BCC #2,,0.3,0,0.325,0.1,0,0.275,0,58,4,BCC #2,0.262,0,0.501,0,0,0.22,0.017,unknown,4,21.4,0.275,0,0.475,0,0,0.2,0.05,2685.975741,2412.825741,2796.968049,2523.818049,9.806558249,2.78E-07,24.83460885,12.16858102,5.19E-06,0.703537469,0.703537469,1,1,1,1,18.58983171,2397.4,521.8522205,1.311748282,110.9923081,230.3386715,2.258931352,0.098243003,0.230349047,0.010018092,20,0.002240113,124.9667129,2.165330794,12.74317755,0.220804358,16,0.055201089,1,8.3503,56.525,24.5825014,166.25,40.90767043,2.941176471
A24,BCC,,0.225,0.1,0.375,0,0,0.3,0,59,4,BCC,0.212,0.095,0.385,0,0,0.289,0.019,unknown,5,2.8,0.225,0.1,0.35,0,0,0.3,0.025,2412.839625,2139.689625,2624.700401,2351.550401,10.08459153,1.71E-08,24.84819833,10.27771172,4.31E-06,0.697959132,0.697959132,1,1,1,1,16.64969095,2400.275,510.8819818,1.294883668,211.860776,314.6647979,3.085917673,0.085642207,0.306003239,0.008492382,20,0.001898954,133.2996451,2.235618379,13.21815015,0.221686557,20,0.049570621,1,8.3503,49.55,13.08042431,164.5,32.55380162,3.31987891
B01,,,0,0.2,0.575,0.05,0.025,0.05,0.1,3,6,unknown,0,0.19,0.584,0.049,0.025,0.051,0.101,3,6,1.4,0,0.225,0.575,0.05,0,0.05,0.1,2455.742978,2182.592978,2672.818969,2399.668969,10.14950981,1.44E-08,24.43169669,21.12412421,8.54E-06,0.736238307,0.736238307,1,1,1,1,25.77990454,2486.3,413.0956427,1.262137817,217.0759915,482.2258924,4.729189327,0.033872712,0.465952486,0.003337374,9,0.001112458,153.892925,1.098940473,15.1625968,0.108275226,9,0.036091742,2,12.885,57.55,39.15031928,185,45.49725266,3.214596003
B02,,,0,0.1,0.65,0.05,0.025,0.075,0.1,3,6,unknown,0,0.099,0.654,0.046,0.027,0.077,0.097,3,6,0.7,0,0.075,0.65,0.05,0.05,0.075,0.1,2612.428277,2339.278277,2769.641475,2496.491475,10.56028625,7.52E-09,24.46157107,18.71235748,7.73E-06,0.866170273,0.866170273,1,1,1,1,25.44594478,2556.5,373.5710776,1.176804551,157.2131973,438.8228013,4.303535213,0.069434248,0.407520697,0.006575035,9,0.002191678,149.6967738,1.271784795,14.17544659,0.120430902,9,0.040143634,2,12.885,57.425,39.41502727,186.75,45.02152263,3.252067915
B03,,,0.05,0.15,0.65,0.05,0.05,0,0.05,4,6,unknown,0.05,0.147,0.65,0.052,0.05,0,0.051,4,6,0.4,0.075,0.15,0.625,0.025,0.05,0,0.075,2370.114395,2096.964395,2568.958354,2295.808354,9.406298458,1.43E-08,24.46850672,34.93160935,1.42E-05,0.74263012,0.74263012,1,1,1,1,32.24387825,2393.85,350.324603,1.163723348,198.8439589,452.8385433,4.440987594,0.060588511,0.472129139,0.00644127,9,0.00214709,136.2830272,1.071551425,14.4884864,0.113918501,9,0.037972834,2,12.885,49.5,31.26579601,172.5,39.09923273,3.484848485
