Alloy,EQ RT Phase,Pareto,Targ_Ti,Targ_V,Targ_Nb,Targ_Mo,Targ_Hf,Targ_Ta,Targ_W,Target System Type,Target System Size,EQ RT Phase.1,Meas_Ti,Meas_V,Meas_Nb,Meas_Mo,Meas_Hf,Meas_Ta,Meas_W,System Type,System_Size,Atomic Flat % DistanceError,Ti,V,Nb,Mo,Hf,Ta,W,PROP ST (K),PROP ST (째C),PROP LT (K),PROP LT (째C),PROP RT Density (g/cm3),PROP RT Elec Resi (ohm m),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),PROP RT Therm Diff (m2/s),EQ 25C MAX BCC,EQ 25C MAX any,EQ 700C MAX BCC,EQ 800C MAX BCC,EQ 900C MAX BCC,EQ 1000C MAX BCC,EQ 1000C THCD (W/mK),Melting Point (째C)_Avg,Melting Point (째C)_Var,Sconf,Solidification Range (K),Hardness (Vickers),Hardness (GPa),Hardness stdev (GPa),Specific Hardness (GPa / (g/cm3)),Specific Hardness stdev (GPa / (g/cm3)),N_trials_hardness,Specific Hardness sterr (GPa / (g/cm3)),Modulus (GPa),Modulus stdev (GPa),Specific Modulus (GPa / (g/cm3)),Specific Modulus stdev (GPa / (g/cm3)),N_trials_modulus,Specific Modulus sterr (GPa / (g/cm3)),Iteration,hypervolume,Shear Modulus RoM (GPa)_Avg,Shear Modulus RoM (GPa)_Var,Bulk Modulus RoM (GPa)_Avg,Bulk Modulus RoM (GPa)_Var,Pugh Ratio
B04,,,0.125,0.175,0.525,0.025,0.05,0,0.1,4,6,unknown,0.126,0.175,0.528,0.022,0.052,0,0.097,4,6,0.6,0.15,0.175,0.525,0,0.05,0,0.1,2289.034488,2015.884488,2517.73458,2244.58458,9.537983058,2.06E-08,24.52169676,32.1263615,1.28E-05,0.625673142,0.625673142,1,1,1,1,29.29098061,2362.6,466.6856972,1.375504364,228.7000918,506.1355621,4.963671458,0.030439153,0.520411016,0.003191362,9,0.001063787,143.7137651,0.959345654,15.06752154,0.100581606,9,0.033527202,2,12.885,54.275,37.92096221,173.25,51.83567787,3.192077384
B05,,,0.125,0.125,0.5,0.1,0.05,0,0.1,4,6,unknown,0.127,0.123,0.498,0.104,0.052,0,0.096,4,6,0.7,0.125,0.175,0.5,0.05,0.05,0,0.1,2403.76461,2130.61461,2608.440794,2335.290794,9.791067992,2.02E-08,24.48727229,29.83338065,1.19E-05,0.635647821,0.635647821,1,1,1,1,30.32983565,2401.9,459.0938248,1.476737608,204.6761842,512.0789224,5.021957992,0.021264044,0.512912176,0.00217178,9,0.000723927,148.5662391,1.311287304,15.17365003,0.133926892,9,0.044642297,2,12.885,59.975,41.4755877,178.25,53.79997677,2.972071697
B06,,,0.05,0.075,0.6,0.1,0.05,0,0.125,4,6,unknown,0.049,0.074,0.605,0.099,0.05,0,0.123,4,6,0.6,0.025,0.1,0.65,0.075,0.05,0,0.1,2531.737825,2258.587825,2709.886513,2436.736513,10.50772633,1.31E-08,24.43072264,33.53501739,1.35E-05,0.768127809,0.768127809,1,1,1,1,35.85653427,2514.55,414.9243877,1.290527341,178.1486884,518.0833854,5.080843761,0.709075862,0.483534078,0.067481379,9,0.022493793,165.2644694,12.66722148,15.72790004,1.205514978,9,0.401838326,2,12.885,62.15,44.62485294,186.75,53.82320596,3.004827031
B07,,,0.1,0.175,0.575,0.075,0,0.05,0.025,5,6,unknown,0.1,0.172,0.58,0.071,0,0.052,0.025,5,6,0.7,0.075,0.175,0.575,0.075,0,0.05,0.05,2424.211848,2151.061848,2594.890864,2321.740864,8.623116643,2.47E-07,24.48697872,20.57036394,8.57E-06,0.706262949,0.706262949,1,1,1,1,24.70998784,2358.45,382.3073338,1.289753287,170.6790159,454.5219709,4.457496969,0.077628947,0.516924118,0.009002423,9,0.003000808,142.087067,1.367278614,16.47746087,0.15855968,9,0.052853227,2,12.885,50.95,27.94006979,171.75,34.34293959,3.370951914
B08,,,0.15,0.125,0.525,0.1,0,0.05,0.05,5,6,unknown,0.148,0.119,0.52,0.107,0,0.053,0.053,5,6,1.1,0.15,0.1,0.55,0.125,0,0.05,0.025,2494.056429,2220.906429,2647.26796,2374.11796,8.816614174,3.02E-07,24.50622302,20.62004731,8.60E-06,0.69645966,0.69645966,1,1,1,1,25.74328831,2373.625,434.7812489,1.412617361,153.2115303,437.4701177,4.290269444,0.027442104,0.486611908,0.003112544,9,0.001037515,149.5501171,0.929949348,16.96230708,0.105476925,9,0.035158975,2,12.885,55.925,34.22162145,174.25,43.81138551,3.115780063
B09,,p3,0.05,0.3,0.5,0.05,0,0.025,0.075,5,6,unknown,0.05,0.296,0.51,0.039,0,0.027,0.078,5,6,1.6,0.05,0.3,0.5,0.025,0,0.05,0.075,2349.801908,2076.651908,2542.291403,2269.141403,8.845187234,2.65E-07,24.42093107,24.78307743,1.00E-05,0.593014183,0.593014183,1,1,1,1,24.99779024,2358.125,436.3165816,1.293830683,192.4894949,515.824193,5.058687861,0.112729794,0.571914164,0.012744761,9,0.004248254,151.2556716,1.052417842,17.10033577,0.118981974,9,0.039660658,2,12.885,55.1,35.05124819,178.25,42.59621462,3.235027223
B10,,,0.1,0.125,0.6,0.075,0,0.025,0.075,5,6,unknown,0.099,0.122,0.603,0.076,0,0.025,0.075,5,6,0.4,0.075,0.1,0.6,0.075,0,0.05,0.1,2505.108318,2231.958318,2651.968861,2378.818861,9.038476733,2.74E-07,24.45546855,25.98674356,1.09E-05,0.745282595,0.745282595,1,1,1,1,29.56442174,2420.55,422.2714737,1.277446137,146.8605431,470.801405,4.617149379,0.019682646,0.51083269,0.002177651,9,0.000725884,152.6971955,0.890556392,16.8941294,0.098529478,9,0.032843159,2,12.885,55.875,36.84032268,178.5,45.41750764,3.194630872
B11,,,0.075,0.175,0.575,0.05,0,0.025,0.1,5,6,unknown,0.076,0.172,0.577,0.051,0,0.027,0.097,5,6,0.5,0.1,0.175,0.575,0.05,0.025,0,0.075,2461.582205,2188.432205,2638.816151,2365.666151,9.265911139,2.76E-07,24.44119278,26.12565522,1.08E-05,0.708554981,0.708554981,1,1,1,1,28.60842365,2432.4,448.3478449,1.289753287,177.2339456,446.4634867,4.378467414,0.030315724,0.47253501,0.003271748,9,0.001090583,153.4686837,0.833828186,16.56271913,0.089988796,9,0.029996265,2,12.885,57.2,39.00461511,181.5,48.14301611,3.173076923
B12,,,0.15,0.05,0.575,0.075,0,0.05,0.1,5,6,unknown,0.142,0.046,0.577,0.076,0,0.054,0.105,5,6,1.1,0.175,0.05,0.6,0.05,0,0.05,0.075,2591.540916,2318.390916,2711.145741,2437.995741,9.454566373,3.52E-07,24.51144915,21.71449467,9.16E-06,0.786904016,0.786904016,1,1,1,1,28.6731356,2459.75,468.4338134,1.326866284,119.6048252,429.466052,4.211773572,0.181188526,0.445475065,0.019164129,9,0.006388043,153.3510855,4.223601985,16.21979047,0.446726145,9,0.148908715,2,12.885,59.35,40.23527681,180.5,52.0552591,3.041280539
B13,,p3,0.075,0.2,0.475,0.1,0,0.025,0.125,5,6,unknown,0.075,0.2,0.48,0.101,0,0.025,0.119,5,6,0.8,0.1,0.2,0.525,0.075,0,0.025,0.075,2491.433747,2218.283747,2676.040726,2402.890726,9.564364593,3.12E-07,24.40639883,25.80899472,1.05E-05,0.644964986,0.644964986,1,1,1,1,27.95209668,2449.15,483.3818134,1.452177534,184.6069783,525.9218151,5.15771524,0.020952021,0.539263763,0.002190634,9,0.000730211,169.0691523,0.808037428,17.67698739,0.084484172,9,0.028161391,2,12.885,64.6,43.576255,187.75,52.98525738,2.906346749
B14,,,0.05,0.125,0.575,0.1,0,0.05,0.1,5,6,unknown,0.049,0.123,0.58,0.098,0,0.051,0.099,5,6,0.6,0.075,0.1,0.6,0.075,0,0.05,0.1,2588.122694,2314.972694,2734.572821,2461.422821,9.774885242,3.28E-07,24.42133821,22.53145841,9.36E-06,0.784097814,0.784097814,1,1,1,1,27.27859646,2501.775,422.2682493,1.338216951,146.450127,450.7558476,4.420562598,0.061900344,0.452236777,0.00633259,9,0.002110863,156.241014,1.486078746,15.9839231,0.152030301,9,0.050676767,2,12.885,61.475,41.16065324,187.25,47.53879994,3.04595364
B15,,,0.125,0.15,0.45,0.05,0,0.1,0.125,5,6,unknown,0.122,0.143,0.457,0.048,0,0.104,0.126,5,6,1.1,0.125,0.125,0.525,0,0,0.1,0.125,2501.606924,2228.456924,2700.942845,2427.792845,10.00565674,4.00E-07,24.53795884,17.5989992,7.26E-06,0.681153197,0.681153197,1,1,1,1,23.34964186,2470.25,521.384539,1.543801969,199.3359205,480.9768726,4.716940189,0.275578994,0.471427345,0.027542319,9,0.009180773,161.2920718,5.629287117,16.12008847,0.562610458,9,0.187536819,2,12.885,62.675,41.60792443,184.5,54.54126878,2.943757479
B16,,,0.075,0.225,0.55,0,0.025,0.025,0.1,6,6,unknown,0.074,0.221,0.554,0,0.026,0.025,0.1,6,6,0.6,0.075,0.2,0.575,0,0.05,0,0.1,2319.98106,2046.83106,2542.707228,2269.557228,9.470473144,1.83E-08,24.49015567,25.12637774,1.01E-05,0.674762025,0.674762025,1,1,1,1,26.82363692,2390.65,460.4841773,1.273405217,222.7261684,452.3637667,4.43633146,0.061608411,0.468438207,0.006505315,9,0.002168438,140.0501806,1.599674979,14.78808698,0.168911833,9,0.056303944,2,12.885,53.35,36.38444036,176.5,48.19491674,3.308341143
B17,,,0.075,0.125,0.55,0,0.05,0.125,0.075,6,6,unknown,0.075,0.118,0.555,0,0.053,0.126,0.073,6,6,0.9,0.075,0.15,0.575,0,0.05,0.1,0.05,2411.174003,2138.024003,2650.793314,2377.643314,10.64776039,1.36E-08,24.61681692,12.32315528,5.00E-06,0.758321894,0.758321894,1,1,1,1,20.76929417,2471.625,442.3200022,1.386997424,239.6193115,425.2938502,4.170856789,0.625986673,0.391712119,0.058790454,9,0.019596818,147.4576736,11.39013624,13.84870321,1.069721314,9,0.356573771,2,12.885,52.275,32.66572171,175.5,44.88596663,3.357245337
B18,,,0.15,0.15,0.525,0,0,0.05,0.125,15,5,unknown,0.149,0.145,0.53,0,0,0.053,0.123,15,5,0.8,0.15,0.125,0.575,0,0,0.05,0.1,2401.781641,2128.631641,2599.977674,2326.827674,9.371387829,2.67E-07,24.53877371,20.90499892,8.69E-06,0.714148298,0.714148298,1,1,1,1,26.66408443,2415.725,518.5065085,1.317140235,198.1960332,365.670646,3.586132026,0.127415732,0.382668191,0.01359625,9,0.004532083,129.4126503,3.018312383,13.80933675,0.322077417,9,0.107359139,2,12.885,57.175,39.86281946,178.5,54.56876396,3.121993878
B19,,p2,0,0.4,0.425,0.025,0,0.05,0.1,16,5,unknown,0,0.399,0.432,0.022,0,0.052,0.095,16,5,0.9,0,0.4,0.425,0.025,0,0.05,0.1,2335.901004,2062.751004,2538.200789,2265.050789,9.310128929,2.77E-07,24.40243568,21.64936715,8.55E-06,0.528160533,0.528160533,1,1,1,1,22.98619661,2375.35,471.8879925,1.202441499,202.2997856,562.1143766,5.512655691,0.027236277,0.592113786,0.002925446,9,0.000975149,162.9297268,1.028424392,17.50026537,0.110462959,9,0.036820986,2,12.885,57.5,37.16449919,183,44.33959855,3.182608696
B20,,p4,0,0.275,0.5,0.1,0,0.075,0.05,16,5,unknown,0,0.266,0.508,0.1,0,0.077,0.049,16,5,1.2,0,0.25,0.525,0.075,0,0.1,0.05,2431.57762,2158.42762,2623.633858,2350.483858,9.38010393,2.58E-07,24.40629767,19.6464939,7.97E-06,0.678744959,0.678744959,1,1,1,1,22.40826499,2423.425,392.6729484,1.275909401,192.0562386,492.744104,4.832341428,0.025937305,0.515169284,0.00276514,9,0.000921713,160.3359768,0.522847934,17.09319832,0.0557401,9,0.018580033,2,12.885,57.15,34.00702133,182.5,35.75961409,3.193350831
B21,,p2,0,0.3,0.425,0.125,0,0.05,0.1,16,5,unknown,0,0.299,0.428,0.125,0,0.052,0.096,16,5,0.5,0.025,0.3,0.45,0.1,0,0.075,0.05,2451.251551,2178.101551,2657.285128,2384.135128,9.690932698,2.83E-07,24.35472315,23.14683834,9.24E-06,0.609848105,0.609848105,1,1,1,1,24.84913029,2446.65,449.5248352,1.364825254,206.0335764,552.0442517,5.413897976,0.038463096,0.558656029,0.003968978,9,0.001322993,174.6269688,1.555177875,18.01962456,0.160477626,9,0.053492542,2,12.885,64.8,41.32202802,190,45.66180023,2.932098765
B22,,p4,0,0.25,0.45,0.075,0,0.1,0.125,16,5,unknown,0,0.256,0.455,0.076,0,0.098,0.115,16,5,1.3,0,0.275,0.45,0.05,0,0.15,0.075,2514.268607,2241.118607,2730.491242,2457.341242,10.41286264,3.62E-07,24.42354568,19.05882814,7.70E-06,0.672004899,0.672004899,1,1,1,1,22.74841236,2518.325,470.1609505,1.390360793,216.2226349,584.7312802,5.734459665,0.781420309,0.550709239,0.075043755,9,0.025014585,176.6693988,14.5289643,16.96645821,1.395290114,9,0.465096705,2,12.885,64.875,42.30259301,192.5,48.25712383,2.967244701
B23,,p3,0.05,0.25,0.525,0.1,0,0,0.075,19,5,unknown,0.05,0.241,0.528,0.102,0,0,0.079,19,5,1,0.05,0.25,0.55,0.075,0.025,0,0.05,2411.909484,2138.759484,2591.49069,2318.34069,8.814289601,2.34E-07,24.37557158,33.24840084,1.35E-05,0.637580763,0.637580763,1,1,1,1,28.39105958,2380.275,415.7511869,1.259176184,179.581206,488.517295,4.790889112,0.038442251,0.543536613,0.004361356,9,0.001453785,155.7174483,1.267494993,17.66647743,0.143800017,9,0.047933339,2,12.885,57.975,37.81698527,181,43.74928571,3.12203536
B24,,y,0.05,0.35,0.375,0.1,0,0,0.125,19,5,unknown,0.05,0.345,0.382,0.105,0,0,0.118,19,5,1.2,0.025,0.35,0.425,0.075,0,0.05,0.075,2384.358789,2111.208789,2587.93519,2314.78519,9.134077197,2.45E-07,24.35685082,31.67891202,1.25E-05,0.481248209,0.481248209,1,1,1,1,26.87199527,2370.825,497.7266261,1.375224029,203.5764013,586.7357036,5.754117045,0.028915064,0.629961508,0.003165625,9,0.001055208,168.6291651,0.991340009,18.46154368,0.108532038,9,0.036177346,2,12.885,65.025,43.16624115,187,52.30678732,2.875816993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
